ax ay az mx my mz clock(s)
-992 -3264 -16208 -43 201 322 930
-992 -3264 -16160 -43 201 322 930
-992 -3216 -16160 -43 201 322 930
-1008 -3264 -16144 -43 191 315 930
-960 -3248 -16160 -43 191 315 930
-992 -3248 -16160 -43 191 315 930
-992 -3216 -16160 -43 191 315 930
-992 -3232 -16160 -43 191 315 930
-1008 -3232 -16160 -42 204 319 930
-992 -3248 -16144 -42 204 319 930
-1024 -3216 -16160 -42 204 319 930
-1024 -3216 -16128 -42 204 319 940
-976 -3280 -16128 -42 204 319 940
-1056 -3248 -16176 -42 204 319 940
-992 -3248 -16144 -42 204 319 940
-992 -3248 -16144 -42 204 319 940
-1024 -3280 -16112 -42 204 319 950
-960 -3264 -16112 -42 204 319 950
-960 -3264 -16096 -39 203 317 950
-1024 -3264 -16160 -39 203 317 950
-1024 -3264 -16160 -39 203 317 950
-1008 -3248 -16208 -39 203 317 950
-1008 -3216 -16176 -39 203 317 960
-1024 -3232 -16128 -46 201 324 960
-1024 -3232 -16128 -46 201 324 960
-1024 -3232 -16128 -46 201 324 960
-1056 -3216 -16176 -46 201 324 960
-960 -3216 -16176 -46 201 324 970
-960 -3216 -16128 -46 201 324 970
-960 -3216 -16176 -46 201 324 970
-1008 -3280 -16176 -46 201 324 970
-1040 -3248 -16144 -46 201 324 970
-1024 -3232 -16144 -42 206 319 970
